,step,name,type,value,0
416,,,,,309
417,,,,,Round megabytes sent
418,,,,,metric
419,,,,,0.379761
420,,,,,309
421,,,,,Chosen CW
422,,,,,metric
423,,,,,64.0
424,,,,,309
425,,,,,Station count
426,,,,,metric
427,,,,,5.0
428,,,,,309
429,,,,,Current throughput
430,,,,,metric
431,,,,,37.479645
432,,,,,309
433,,,,,Fairness index
434,,,,,metric
435,,,,,0.959434
436,,,,,309
437,,,,,Observation 0
438,,,,,metric
439,,,,,0.5339289411902428
440,,,,,309
441,,,,,loss
442,,,,,metric
443,,,,,0.0019715044495023848
444,,,,,309
445,,,,,Observation 1
446,,,,,metric
447,,,,,0.03745534908027289
448,,,,,309
449,,,,,loss
450,,,,,metric
451,,,,,0.0019715044495023848
452,,,,,310
453,,,,,Round reward
454,,,,,metric
455,,,,,0.491455078125
456,,,,,310
457,,,,,Per-ep reward
458,,,,,metric
459,,,,,146.170654296875
460,,,,,310
461,,,,,Megabytes sent
462,,,,,metric
463,,,,,3.741759032011032
464,,,,,310
465,,,,,Round megabytes sent
466,,,,,metric
467,,,,,0.368591
468,,,,,310
469,,,,,Chosen CW
470,,,,,metric
471,,,,,64.0
472,,,,,310
473,,,,,Station count
474,,,,,metric
475,,,,,5.0
476,,,,,310
477,,,,,Current throughput
478,,,,,metric
479,,,,,37.41759
480,,,,,310
481,,,,,Fairness index
482,,,,,metric
483,,,,,0.959618
484,,,,,310
485,,,,,Observation 0
486,,,,,metric
487,,,,,0.5341892992456754
488,,,,,310
489,,,,,loss
490,,,,,metric
491,,,,,0.0019715044495023848
492,,,,,310
493,,,,,Observation 1
494,,,,,metric
495,,,,,0.0373994295153787
496,,,,,310
497,,,,,loss
498,,,,,metric
499,,,,,0.0019715044495023848
500,,,,,311
501,,,,,Round reward
502,,,,,metric
503,,,,,0.4765625
504,,,,,311
505,,,,,Per-ep reward
506,,,,,metric
507,,,,,146.647216796875
508,,,,,311
509,,,,,Megabytes sent
510,,,,,metric
511,,,,,4.099181026220322
512,,,,,311
513,,,,,Round megabytes sent
514,,,,,metric
515,,,,,0.357422
516,,,,,311
517,,,,,Chosen CW
518,,,,,metric
519,,,,,64.0
520,,,,,311
521,,,,,Station count
522,,,,,metric
523,,,,,5.0
524,,,,,311
525,,,,,Current throughput
526,,,,,metric
527,,,,,37.26528
528,,,,,311
529,,,,,Fairness index
530,,,,,metric
531,,,,,0.95999
532,,,,,311
533,,,,,Observation 0
534,,,,,metric
535,,,,,0.5343929121891657
536,,,,,311
537,,,,,loss
538,,,,,metric
539,,,,,0.0019715044495023848
540,,,,,311
541,,,,,Observation 1
542,,,,,metric
543,,,,,0.03727335183218147
544,,,,,311
545,,,,,loss
546,,,,,metric
547,,,,,0.0019715044495023848
548,,,,,312
549,,,,,Round reward
550,,,,,metric
551,,,,,0.5361328125
552,,,,,312
553,,,,,Per-ep reward
554,,,,,metric
555,,,,,147.183349609375
556,,,,,312
557,,,,,Megabytes sent
558,,,,,metric
559,,,,,4.501281023025513
560,,,,,312
561,,,,,Round megabytes sent
562,,,,,metric
563,,,,,0.4021
564,,,,,312
565,,,,,Chosen CW
566,,,,,metric
567,,,,,64.0
568,,,,,312
569,,,,,Station count
570,,,,,metric
571,,,,,5.0
572,,,,,312
573,,,,,Current throughput
574,,,,,metric
575,,,,,37.510674
576,,,,,312
577,,,,,Fairness index
578,,,,,metric
579,,,,,0.960295
580,,,,,312
581,,,,,Observation 0
582,,,,,metric
583,,,,,0.5345181387166182
584,,,,,312
585,,,,,loss
586,,,,,metric
587,,,,,0.0019715044495023848
588,,,,,312
589,,,,,Observation 1
590,,,,,metric
591,,,,,0.037328985572424964
592,,,,,312
593,,,,,loss
594,,,,,metric
595,,,,,0.0019715044495023848
596,,,,,313
597,,,,,Round reward
598,,,,,metric
599,,,,,0.491455078125
600,,,,,313
601,,,,,Per-ep reward
602,,,,,metric
603,,,,,147.6748046875
604,,,,,313
605,,,,,Megabytes sent
606,,,,,metric
607,,,,,4.869872033596039
608,,,,,313
609,,,,,Round megabytes sent
610,,,,,metric
611,,,,,0.368591
612,,,,,313
613,,,,,Chosen CW
614,,,,,metric
615,,,,,64.0
616,,,,,313
617,,,,,Station count
618,,,,,metric
619,,,,,5.0
620,,,,,313
621,,,,,Current throughput
622,,,,,metric
623,,,,,37.460552
624,,,,,313
625,,,,,Fairness index
626,,,,,metric
627,,,,,0.960459
628,,,,,313
629,,,,,Observation 0
630,,,,,metric
631,,,,,0.532246620307366
632,,,,,313
633,,,,,loss
634,,,,,metric
635,,,,,0.0019715044495023848
636,,,,,313
637,,,,,Observation 1
638,,,,,metric
639,,,,,0.025284967872259957
640,,,,,313
641,,,,,loss
642,,,,,metric
643,,,,,0.0019715044495023848
644,,,,,314
645,,,,,Round reward
646,,,,,metric
647,,,,,0.521240234375
648,,,,,314
649,,,,,Per-ep reward
650,,,,,metric
651,,,,,148.196044921875
652,,,,,314
653,,,,,Megabytes sent
654,,,,,metric
655,,,,,5.2608020305633545
656,,,,,314
657,,,,,Round megabytes sent
658,,,,,metric
659,,,,,0.39093
660,,,,,314
661,,,,,Chosen CW
662,,,,,metric
663,,,,,64.0
664,,,,,314
665,,,,,Station count
666,,,,,metric
667,,,,,5.0
668,,,,,314
669,,,,,Current throughput
670,,,,,metric
671,,,,,37.577156
672,,,,,314
673,,,,,Fairness index
674,,,,,metric
675,,,,,0.960645
676,,,,,314
677,,,,,Observation 0
678,,,,,metric
679,,,,,0.5317904056608678
680,,,,,314
681,,,,,loss
682,,,,,metric
683,,,,,0.0019715044495023848
684,,,,,314
685,,,,,Observation 1
686,,,,,metric
687,,,,,0.024724974943023604
688,,,,,314
689,,,,,loss
690,,,,,metric
691,,,,,0.0019715044495023848
692,,,,,315
693,,,,,Round reward
694,,,,,metric
695,,,,,0.521240234375
696,,,,,315
697,,,,,Per-ep reward
698,,,,,metric
699,,,,,148.71728515625
700,,,,,315
701,,,,,Megabytes sent
702,,,,,metric
703,,,,,5.65173202753067
704,,,,,315
705,,,,,Round megabytes sent
706,,,,,metric
707,,,,,0.39093
708,,,,,315
709,,,,,Chosen CW
710,,,,,metric
711,,,,,64.0
712,,,,,315
713,,,,,Station count
714,,,,,metric
715,,,,,5.0
716,,,,,315
717,,,,,Current throughput
718,,,,,metric
719,,,,,37.678215
720,,,,,315
721,,,,,Fairness index
722,,,,,metric
723,,,,,0.960932
724,,,,,315
725,,,,,Observation 0
726,,,,,metric
727,,,,,0.5316659221549829
728,,,,,315
729,,,,,loss
730,,,,,metric
731,,,,,0.0019715044495023848
732,,,,,315
733,,,,,Observation 1
734,,,,,metric
735,,,,,0.02468073395273223
736,,,,,315
737,,,,,loss
738,,,,,metric
739,,,,,0.0019715044495023848
740,,,,,316
741,,,,,Round reward
742,,,,,metric
743,,,,,0.491455078125
744,,,,,316
745,,,,,Per-ep reward
746,,,,,metric
747,,,,,149.208740234375
748,,,,,316
749,,,,,Megabytes sent
750,,,,,metric
751,,,,,6.020323038101196
752,,,,,316
753,,,,,Round megabytes sent
754,,,,,metric
755,,,,,0.368591
756,,,,,316
757,,,,,Chosen CW
758,,,,,metric
759,,,,,64.0
760,,,,,316
761,,,,,Station count
762,,,,,metric
763,,,,,5.0
764,,,,,316
765,,,,,Current throughput
766,,,,,metric
767,,,,,37.62702
768,,,,,316
769,,,,,Fairness index
770,,,,,metric
771,,,,,0.96113
772,,,,,316
773,,,,,Observation 0
774,,,,,metric
775,,,,,0.5317353798449039
776,,,,,316
777,,,,,loss
778,,,,,metric
779,,,,,0.0019715044495023848
780,,,,,316
781,,,,,Observation 1
782,,,,,metric
783,,,,,0.024662620055649852
784,,,,,316
785,,,,,loss
786,,,,,metric
787,,,,,0.0019715044495023848
788,,,,,317
789,,,,,Round reward
790,,,,,metric
791,,,,,0.491455078125
792,,,,,317
793,,,,,Per-ep reward
794,,,,,metric
795,,,,,149.7001953125
796,,,,,317
797,,,,,Megabytes sent
798,,,,,metric
799,,,,,6.388914048671722
800,,,,,317
801,,,,,Round megabytes sent
802,,,,,metric
803,,,,,0.368591
804,,,,,317
805,,,,,Chosen CW
806,,,,,metric
807,,,,,64.0
808,,,,,317
809,,,,,Station count
810,,,,,metric
811,,,,,5.0
812,,,,,317
813,,,,,Current throughput
814,,,,,metric
815,,,,,37.581852
816,,,,,317
817,,,,,Fairness index
818,,,,,metric
819,,,,,0.961419
820,,,,,317
821,,,,,Observation 0
822,,,,,metric
823,,,,,0.5315391098956267
824,,,,,317
825,,,,,loss
826,,,,,metric
827,,,,,0.0019715044495023848
828,,,,,317
829,,,,,Observation 1
830,,,,,metric
831,,,,,0.024548951471294454
832,,,,,317
833,,,,,loss
834,,,,,metric
835,,,,,0.0019715044495023848
836,,,,,318
837,,,,,Round reward
838,,,,,metric
839,,,,,0.56591796875
840,,,,,318
841,,,,,Per-ep reward
842,,,,,metric
843,,,,,150.26611328125
844,,,,,318
845,,,,,Megabytes sent
846,,,,,metric
847,,,,,6.813352048397064
848,,,,,318
849,,,,,Round megabytes sent
850,,,,,metric
851,,,,,0.424438
852,,,,,318
853,,,,,Chosen CW
854,,,,,metric
855,,,,,64.0
856,,,,,318
857,,,,,Station count
858,,,,,metric
859,,,,,5.0
860,,,,,318
861,,,,,Current throughput
862,,,,,metric
863,,,,,37.85196
864,,,,,318
865,,,,,Fairness index
866,,,,,metric
867,,,,,0.961747
868,,,,,318
869,,,,,Observation 0
870,,,,,metric
871,,,,,0.5316735121111076
872,,,,,318
873,,,,,loss
874,,,,,metric
875,,,,,0.0019715044495023848
876,,,,,318
877,,,,,Observation 1
878,,,,,metric
879,,,,,0.024491259281646156
880,,,,,318
881,,,,,loss
882,,,,,metric
883,,,,,0.0019715044495023848
884,,,,,319
885,,,,,Round reward
886,,,,,metric
887,,,,,0.461669921875
888,,,,,319
889,,,,,Per-ep reward
890,,,,,metric
891,,,,,150.727783203125
892,,,,,319
893,,,,,Megabytes sent
894,,,,,metric
895,,,,,7.159604042768478
896,,,,,319
897,,,,,Round megabytes sent
898,,,,,metric
899,,,,,0.346252
900,,,,,319
901,,,,,Chosen CW
902,,,,,metric
903,,,,,64.0
904,,,,,319
905,,,,,Station count
906,,,,,metric
907,,,,,5.0
908,,,,,319
909,,,,,Current throughput
910,,,,,metric
911,,,,,37.68213
912,,,,,319
913,,,,,Fairness index
914,,,,,metric
915,,,,,0.962256
916,,,,,319
917,,,,,Observation 0
918,,,,,metric
919,,,,,0.5315210430324079
920,,,,,319
921,,,,,loss
922,,,,,metric
923,,,,,0.0019715044495023848
924,,,,,319
925,,,,,Observation 1
926,,,,,metric
927,,,,,0.024523782466352197
928,,,,,319
929,,,,,loss
930,,,,,metric
931,,,,,0.0019715044495023848
932,,,,,320
933,,,,,Round reward
934,,,,,metric
935,,,,,0.5361328125
936,,,,,320
937,,,,,Per-ep reward
938,,,,,metric
939,,,,,151.263916015625
940,,,,,320
941,,,,,Megabytes sent
942,,,,,metric
943,,,,,7.561704039573669
944,,,,,320
945,,,,,Round megabytes sent
946,,,,,metric
947,,,,,0.4021
948,,,,,320
949,,,,,Chosen CW
950,,,,,metric
951,,,,,64.0
952,,,,,320
953,,,,,Station count
954,,,,,metric
955,,,,,5.0
956,,,,,320
957,,,,,Current throughput
958,,,,,metric
959,,,,,37.808525
960,,,,,320
961,,,,,Fairness index
962,,,,,metric
963,,,,,0.962517
964,,,,,320
965,,,,,Observation 0
966,,,,,metric
967,,,,,0.5316140364110469
968,,,,,320
969,,,,,loss
970,,,,,metric
971,,,,,0.0019715044495023848
972,,,,,320
973,,,,,Observation 1
974,,,,,metric
975,,,,,0.02457336882412435
976,,,,,320
977,,,,,loss
978,,,,,metric
979,,,,,0.0019715044495023848
980,,,,,321
981,,,,,Round reward
982,,,,,metric
983,,,,,0.50634765625
984,,,,,321
985,,,,,Per-ep reward
986,,,,,metric
987,,,,,151.770263671875
988,,,,,321
989,,,,,Megabytes sent
990,,,,,metric
991,,,,,7.941465049982071
992,,,,,321
993,,,,,Round megabytes sent
994,,,,,metric
995,,,,,0.379761
996,,,,,321
997,,,,,Chosen CW
998,,,,,metric
999,,,,,64.0
1000,,,,,321
1001,,,,,Station count
1002,,,,,metric
1003,,,,,5.0
1004,,,,,321
1005,,,,,Current throughput
1006,,,,,metric
1007,,,,,37.8165
1008,,,,,321
1009,,,,,Fairness index
1010,,,,,metric
1011,,,,,0.962808
1012,,,,,321
1013,,,,,Observation 0
1014,,,,,metric
1015,,,,,0.5315153301258881
1016,,,,,321
1017,,,,,loss
1018,,,,,metric
1019,,,,,0.0019715044495023848
1020,,,,,321
1021,,,,,Observation 1
1022,,,,,metric
1023,,,,,0.02459462893493346
1024,,,,,321
1025,,,,,loss
1026,,,,,metric
1027,,,,,0.0019715044495023848
1028,,,,,322
1029,,,,,Round reward
1030,,,,,metric
1031,,,,,0.50634765625
1032,,,,,322
1033,,,,,Per-ep reward
1034,,,,,metric
1035,,,,,152.276611328125
1036,,,,,322
1037,,,,,Megabytes sent
1038,,,,,metric
1039,,,,,8.321226060390472
1040,,,,,322
1041,,,,,Round megabytes sent
1042,,,,,metric
1043,,,,,0.379761
1044,,,,,322
1045,,,,,Chosen CW
1046,,,,,metric
1047,,,,,64.0
1048,,,,,322
1049,,,,,Station count
1050,,,,,metric
1051,,,,,5.0
1052,,,,,322
1053,,,,,Current throughput
1054,,,,,metric
1055,,,,,37.823757
1056,,,,,322
1057,,,,,Fairness index
1058,,,,,metric
1059,,,,,0.963211
1060,,,,,322
1061,,,,,Observation 0
1062,,,,,metric
1063,,,,,0.5315527381002904
1064,,,,,322
1065,,,,,loss
1066,,,,,metric
1067,,,,,0.0019715044495023848
1068,,,,,322
1069,,,,,Observation 1
1070,,,,,metric
1071,,,,,0.024609981753353726
1072,,,,,322
1073,,,,,loss
1074,,,,,metric
1075,,,,,0.0019715044495023848
1076,,,,,323
1077,,,,,Round reward
1078,,,,,metric
1079,,,,,0.521240234375
1080,,,,,323
1081,,,,,Per-ep reward
1082,,,,,metric
1083,,,,,152.7978515625
1084,,,,,323
1085,,,,,Megabytes sent
1086,,,,,metric
1087,,,,,8.712156057357788
1088,,,,,323
1089,,,,,Round megabytes sent
1090,,,,,metric
1091,,,,,0.39093
1092,,,,,323
1093,,,,,Chosen CW
1094,,,,,metric
1095,,,,,64.0
1096,,,,,323
1097,,,,,Station count
1098,,,,,metric
1099,,,,,5.0
1100,,,,,323
1101,,,,,Current throughput
1102,,,,,metric
1103,,,,,37.87894
1104,,,,,323
1105,,,,,Fairness index
1106,,,,,metric
1107,,,,,0.963376
1108,,,,,323
1109,,,,,Observation 0
1110,,,,,metric
1111,,,,,0.5313498284916083
1112,,,,,323
1113,,,,,loss
1114,,,,,metric
1115,,,,,0.0019715044495023848
1116,,,,,323
1117,,,,,Observation 1
1118,,,,,metric
1119,,,,,0.024452851943761674
1120,,,,,323
1121,,,,,loss
1122,,,,,metric
1123,,,,,0.0019715044495023848
1124,,,,,324
1125,,,,,Round reward
1126,,,,,metric
1127,,,,,0.50634765625
1128,,,,,324
1129,,,,,Per-ep reward
1130,,,,,metric
1131,,,,,153.30419921875
1132,,,,,324
1133,,,,,Megabytes sent
1134,,,,,metric
1135,,,,,9.09191706776619
1136,,,,,324
1137,,,,,Round megabytes sent
1138,,,,,metric
1139,,,,,0.379761
1140,,,,,324
1141,,,,,Chosen CW
1142,,,,,metric
1143,,,,,64.0
1144,,,,,324
1145,,,,,Station count
1146,,,,,metric
1147,,,,,5.0
1148,,,,,324
1149,,,,,Current throughput
1150,,,,,metric
1151,,,,,37.88299
1152,,,,,324
1153,,,,,Fairness index
1154,,,,,metric
1155,,,,,0.963419
1156,,,,,324
1157,,,,,Observation 0
1158,,,,,metric
1159,,,,,0.5314140532910824
1160,,,,,324
1161,,,,,loss
1162,,,,,metric
1163,,,,,0.0019715044495023848
1164,,,,,324
1165,,,,,Observation 1
1166,,,,,metric
1167,,,,,0.024452909266583295
1168,,,,,324
1169,,,,,loss
1170,,,,,metric
1171,,,,,0.0019715044495023848
1172,,,,,325
1173,,,,,Round reward
1174,,,,,metric
1175,,,,,0.50634765625
1176,,,,,325
1177,,,,,Per-ep reward
1178,,,,,metric
1179,,,,,153.810546875
1180,,,,,325
1181,,,,,Megabytes sent
1182,,,,,metric
1183,,,,,9.471678078174591
1184,,,,,325
1185,,,,,Round megabytes sent
1186,,,,,metric
1187,,,,,0.379761
1188,,,,,325
1189,,,,,Chosen CW
1190,,,,,metric
1191,,,,,64.0
1192,,,,,325
1193,,,,,Station count
1194,,,,,metric
1195,,,,,5.0
1196,,,,,325
1197,,,,,Current throughput
1198,,,,,metric
1199,,,,,37.886715
1200,,,,,325
1201,,,,,Fairness index
1202,,,,,metric
1203,,,,,0.963362
1204,,,,,325
1205,,,,,Observation 0
1206,,,,,metric
1207,,,,,0.5314736253023148
1208,,,,,325
1209,,,,,loss
1210,,,,,metric
1211,,,,,0.0019715044495023848
1212,,,,,325
1213,,,,,Observation 1
1214,,,,,metric
1215,,,,,0.02444722903016839
1216,,,,,325
1217,,,,,loss
1218,,,,,metric
1219,,,,,0.0019715044495023848
1220,,,,,326
1221,,,,,Round reward
1222,,,,,metric
1223,,,,,0.5361328125
1224,,,,,326
1225,,,,,Per-ep reward
1226,,,,,metric
1227,,,,,154.3466796875
1228,,,,,326
1229,,,,,Megabytes sent
1230,,,,,metric
1231,,,,,9.873778074979782
1232,,,,,326
1233,,,,,Round megabytes sent
1234,,,,,metric
1235,,,,,0.4021
1236,,,,,326
1237,,,,,Chosen CW
1238,,,,,metric
1239,,,,,64.0
1240,,,,,326
1241,,,,,Station count
1242,,,,,metric
1243,,,,,5.0
1244,,,,,326
1245,,,,,Current throughput
1246,,,,,metric
1247,,,,,37.97607
1248,,,,,326
1249,,,,,Fairness index
1250,,,,,metric
1251,,,,,0.963571
1252,,,,,326
1253,,,,,Observation 0
1254,,,,,metric
1255,,,,,0.5313238355517388
1256,,,,,326
1257,,,,,loss
1258,,,,,metric
1259,,,,,0.0019715044495023848
1260,,,,,326
1261,,,,,Observation 1
1262,,,,,metric
1263,,,,,0.024429458937375127
1264,,,,,326
1265,,,,,loss
1266,,,,,metric
1267,,,,,0.0019715044495023848
1268,,,,,327
1269,,,,,Round reward
1270,,,,,metric
1271,,,,,0.521240234375
1272,,,,,327
1273,,,,,Per-ep reward
1274,,,,,metric
1275,,,,,154.867919921875
1276,,,,,327
1277,,,,,Megabytes sent
1278,,,,,metric
1279,,,,,10.264708071947098
1280,,,,,327
1281,,,,,Round megabytes sent
1282,,,,,metric
1283,,,,,0.39093
1284,,,,,327
1285,,,,,Chosen CW
1286,,,,,metric
1287,,,,,64.0
1288,,,,,327
1289,,,,,Station count
1290,,,,,metric
1291,,,,,5.0
1292,,,,,327
1293,,,,,Current throughput
1294,,,,,metric
1295,,,,,38.017437
1296,,,,,327
1297,,,,,Fairness index
1298,,,,,metric
1299,,,,,0.963841
1300,,,,,327
1301,,,,,Observation 0
1302,,,,,metric
1303,,,,,0.5304136567314466
1304,,,,,327
1305,,,,,loss
1306,,,,,metric
1307,,,,,0.0019715044495023848
1308,,,,,327
